lambda_year,lambda_reg,lambda_lag_reg,val_RMSE,val_MAPE_%,year_MAPE_%
0.1,0.0001,0.005,6968.709288182688,43.087955213012,205.13993252676107
0.1,0.001,1e-05,7031.300967906826,43.62553369220358,202.31013931137701
0.1,0.001,0.0001,7036.1191900479025,43.65476046487275,202.30072827107986
0.1,0.001,0.001,7084.266235086354,43.94159990101487,202.20841035759395
0.1,1e-05,0.01,7176.51578474793,44.31505415556498,204.93746043530564
0.1,0.0001,0.01,7208.164705977473,44.50406100055548,204.60509484877556
0.1,0.001,0.005,7290.7353327592145,45.08086494678587,201.86356602907443
0.1,0.001,0.01,7525.203809219227,46.24537541055826,201.5474802937104
0.03,0.01,1e-05,8253.731462497863,51.31913908589808,130.4070677713675
0.03,0.01,0.0001,8258.041386849813,51.332479842266835,130.43342471476853
0.03,0.01,0.001,8300.749878580556,51.46392098688871,130.69615962201564
0.03,0.001,1e-05,8304.288956866007,51.880696349606005,135.77563568647471
0.03,0.001,0.0001,8309.761929055037,51.89828803286235,135.8039473818017
0.03,0.0001,1e-05,8321.419273085388,51.98558177904887,136.35371827493853
0.03,1e-05,1e-05,8323.302346979284,51.99678943047283,136.41387801123568
0.03,0.0001,0.0001,8327.058316948154,52.0037529426173,136.38294848871595
0.03,1e-05,0.0001,8328.929973560595,52.01491016555902,136.44290447518307
0.03,0.001,0.001,8364.288691649945,52.072751157624964,136.08968150992692
0.03,0.0001,0.001,8382.97446118157,52.18306359083795,136.67447920289965
0.03,1e-05,0.001,8384.96608460988,52.19454183155542,136.73276382868255
0.03,0.01,0.005,8482.832867357427,52.01135286181626,131.8588493870485
0.03,0.001,0.005,8596.360704425788,52.79663723200094,137.36232734148618
0.03,0.0001,0.005,8620.806544612804,52.92599387891048,137.96036304292772
0.03,1e-05,0.005,8623.365206019585,52.9394006785939,138.0226195636741
0.03,0.01,0.01,8692.695864620619,52.61689330477716,133.2816614965531
0.03,0.001,0.01,8862.94485639949,53.593077550482036,138.94425254229265
0.03,0.0001,0.01,8893.836105144961,53.742800869004995,139.55924768290643
0.03,1e-05,0.01,8897.039847286413,53.75820008205753,139.6208269124524
0.03,0.1,1e-05,9141.815726422363,51.66482760727177,89.65535742050464
0.03,0.1,0.0001,9142.450744521408,51.66521315519624,89.66325164587454
0.03,0.1,0.001,9148.757379352834,51.66921127129771,89.74457226257367
0.03,0.1,0.005,9175.866430440421,51.685290539574154,90.1077160783174
0.03,0.1,0.01,9207.86256970821,51.70153253834398,90.54135841764969
0.1,0.01,1e-05,9524.046980776977,54.75851836264184,184.7804998563389
0.1,0.01,0.0001,9525.219238356258,54.76219299922359,184.78298727611613
0.1,0.01,0.001,9536.606980950817,54.79778985272542,184.80629667820324
0.1,0.01,0.005,9581.040574451014,54.935324147917676,184.89634976855612
0.1,0.01,0.01,9624.560008685825,55.06717203050725,184.98280362585467
0.1,0.1,0.01,10327.04184946071,58.357315520233264,140.81891110763223
0.1,0.1,0.005,10330.094022571931,58.37850680046224,140.8113796731177
0.1,0.1,0.001,10332.527434390347,58.39556529802808,140.80493390150977
0.1,0.1,0.0001,10333.078401121575,58.39944541974642,140.8035070197111
0.1,0.1,1e-05,10333.12782081969,58.39980937716152,140.80329189134147
0.3,0.1,0.01,12179.475388730205,67.40868606316268,171.05751359066286
0.3,0.1,0.005,12221.834482606515,67.49576286163568,171.79941453243342
0.3,0.1,0.001,12256.836531780815,67.56764170026833,172.4179525277177
0.3,0.1,0.0001,12264.851563741433,67.58407481819727,172.56049559880475
