split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX
2025-03,g_vaccine,0.2441832423210144,244.1832423210144,1132.9550377486669
2025-03,wiki_views,-2.61910343170166,-2619.10343170166,-2994.9019293252104
2025-03,mosq_total_monthly_views,3.0275371074676514,3027.5371074676514,6988.510029698005
2025-03,x_tilde_lag1,1.4382693767547607,1438.2693767547607,73.93997541960618
2025-03,x_tilde_lag2,4.26694393157959,4266.94393157959,218.5599050067255
2025-03,x_tilde_lag12,3.3014414310455322,3301.441431045532,163.02936910617103
2025-03,s_sin1,-4.394794940948486,-4394.794940948486,-6168.161320935288
2025-03,s_cos1,-3.907435894012451,-3907.435894012451,-5585.023634324692
2025-03,s_sin1_t,-1.299280047416687,-1299.280047416687,-1371.881118877598
2025-03,s_cos1_t,3.297945737838745,3297.945737838745,3673.4521422836647
2025-03,s_sin2,-1.2972296476364136,-1297.2296476364136,-1836.6794401022414
2025-03,s_cos2,0.06658191233873367,66.58191233873367,94.19726840693866
2025-03,s_sin2_t,0.31236958503723145,312.36958503723145,333.8265542686033
2025-03,s_cos2_t,-1.6122123003005981,-1612.2123003005981,-1760.3379471826388
2025-03,intercept,17.614845275878906,17614.845275878906,-34973.28424321875
2025-04,g_fever,6.895968914031982,6895.968914031982,34022.11941969422
2025-04,g_vaccine,0.427463561296463,427.463561296463,2002.362915214188
2025-04,wiki_views,-2.2915053367614746,-2291.5053367614746,-2532.2087789773295
2025-04,mosq_total_monthly_views,2.9029977321624756,2902.9977321624756,6230.3098651798455
2025-04,x_tilde_lag1,1.5970348119735718,1597.0348119735718,82.39402291034833
2025-04,x_tilde_lag2,4.5682854652404785,4568.2854652404785,234.85096296261432
2025-04,x_tilde_lag12,3.3415043354034424,3341.5043354034424,165.8936365844432
2025-04,s_sin1,-3.7975988388061523,-3797.5988388061523,-5314.78574693172
2025-04,s_cos1,-4.401711463928223,-4401.711463928223,-6318.5381208285335
2025-04,s_sin1_t,-1.5079289674758911,-1507.928967475891,-1567.6777739103882
2025-04,s_cos1_t,3.287238836288452,3287.238836288452,3659.421923680379
2025-04,s_sin2,-0.8291482329368591,-829.1482329368591,-1167.316331940522
2025-04,s_cos2,-0.019286569207906723,-19.286569207906723,-27.4304686336356
2025-04,s_sin2_t,-0.46611255407333374,-466.11255407333374,-491.5764550342378
2025-04,s_cos2_t,-1.8567273616790771,-1856.7273616790771,-2029.931515659959
2025-04,intercept,17.36933135986328,17369.33135986328,-32514.750789231024
2025-05,g_fever,6.345164775848389,6345.164775848389,31449.133366095863
2025-05,g_vaccine,0.4873827397823334,487.3827397823334,2304.8641123370053
2025-05,wiki_views,-2.22589111328125,-2225.89111328125,-2405.5265924684295
2025-05,mosq_total_monthly_views,2.944206714630127,2944.206714630127,5884.492822839397
2025-05,x_tilde_lag1,1.7540236711502075,1754.0236711502075,90.76756310651055
2025-05,x_tilde_lag2,4.742375373840332,4742.375373840332,244.66804497442487
2025-05,x_tilde_lag12,3.3065996170043945,3306.5996170043945,165.31743119476022
2025-05,s_sin1,-3.5100693702697754,-3510.0693702697754,-4941.919439649641
2025-05,s_cos1,-3.7378768920898438,-3737.8768920898438,-5336.742339883479
2025-05,s_sin1_t,-1.8532283306121826,-1853.2283306121826,-1927.8063702406137
2025-05,s_cos1_t,1.9012746810913086,1901.2746810913086,2074.635668328816
2025-05,s_sin2,-0.7961894273757935,-796.1894273757935,-1115.5074065457125
2025-05,s_cos2,-0.2554077208042145,-255.40772080421448,-364.78999653345556
2025-05,s_sin2_t,-0.6485647559165955,-648.5647559165955,-674.6616449188006
2025-05,s_cos2_t,-1.4576374292373657,-1457.6374292373657,-1594.179933465174
2025-05,intercept,17.127288818359375,17127.288818359375,-30331.297686120866
2025-06,g_fever,6.16753625869751,6167.53625869751,30748.48535073232
2025-06,g_vaccine,0.31171151995658875,311.71151995658875,1482.181531155874
2025-06,wiki_views,-2.219191551208496,-2219.191551208496,-2348.723740773376
2025-06,mosq_total_monthly_views,3.0116662979125977,3011.6662979125977,5671.055630972777
2025-06,x_tilde_lag1,1.8765027523040771,1876.5027523040771,97.49426377763614
2025-06,x_tilde_lag2,4.838473320007324,4838.473320007324,250.3822722785382
2025-06,x_tilde_lag12,3.3307876586914062,3330.7876586914062,167.9776544352056
2025-06,s_sin1,-3.428497791290283,-3428.497791290283,-4871.954501607295
2025-06,s_cos1,-3.347641944885254,-3347.641944885254,-4735.905094553484
2025-06,s_sin1_t,-1.971019983291626,-1971.019983291626,-2069.5760277306754
2025-06,s_cos1_t,0.961492657661438,961.492657661438,1019.0000992394945
2025-06,s_sin2,-1.1432121992111206,-1143.2121992111206,-1616.7462244641724
2025-06,s_cos2,-0.814193844795227,-814.193844795227,-1151.4439974162296
2025-06,s_sin2_t,-0.003728021401911974,-3.728021401911974,-3.9142316273840545
2025-06,s_cos2_t,-0.6934506893157959,-693.4506893157959,-737.5591666300555
2025-06,intercept,16.938602447509766,16938.602447509766,-28611.58446098557
2025-07,g_fever,7.007359504699707,7007.359504699707,35204.431367834164
2025-07,g_vaccine,0.27154645323753357,271.54645323753357,1302.7633790226716
2025-07,wiki_views,-2.4756863117218018,-2475.6863117218018,-2594.7623627079006
2025-07,mosq_total_monthly_views,3.27362060546875,3273.62060546875,5982.028940424602
2025-07,x_tilde_lag1,1.5624465942382812,1562.4465942382812,81.65290587426618
2025-07,x_tilde_lag2,4.407111167907715,4407.111167907715,228.97276094854325
2025-07,x_tilde_lag12,3.0639591217041016,3063.9591217041016,155.91074015811614
2025-07,s_sin1,-3.583810329437256,-3583.810329437256,-5109.306085676855
2025-07,s_cos1,-4.024623394012451,-4024.623394012451,-5672.4553645349015
2025-07,s_sin1_t,-1.5123552083969116,-1512.3552083969116,-1588.2134081861645
2025-07,s_cos1_t,2.483290910720825,2483.290910720825,2581.7292867801248
2025-07,s_sin2,-0.30168935656547546,-301.68935656547546,-424.83135819009266
2025-07,s_cos2,-0.8938504457473755,-893.8504457473755,-1269.9866161392897
2025-07,s_sin2_t,-1.4127802848815918,-1412.7802848815918,-1452.210534906235
