resolution,date,value,source
Monthly,2024-11,30354,OpenDengue_National_Monthly
Monthly,2025-01,4700,OpenDengue_National_Monthly
Yearly,1991,6291,OpenDengue_National_Yearly
Yearly,1992,2683,OpenDengue_National_Yearly
Yearly,1993,11125,OpenDengue_National_Yearly
Yearly,1994,7494,OpenDengue_National_Yearly
Yearly,1995,7847,OpenDengue_National_Yearly
Yearly,1996,16517,OpenDengue_National_Yearly
Yearly,1997,1177,OpenDengue_National_Yearly
Yearly,1998,707,OpenDengue_National_Yearly
Yearly,1999,944,OpenDengue_National_Yearly
Yearly,2000,650,OpenDengue_National_Yearly
Yearly,2001,3306,OpenDengue_National_Yearly
Yearly,2002,1926,OpenDengue_National_Yearly
Yearly,2003,12754,OpenDengue_National_Yearly
Yearly,2004,4153,OpenDengue_National_Yearly
Yearly,2005,11985,OpenDengue_National_Yearly
Yearly,2006,12317,OpenDengue_National_Yearly
Yearly,2007,5023,OpenDengue_National_Yearly
Yearly,2008,11476,OpenDengue_National_Yearly
Yearly,2009,15535,OpenDengue_National_Yearly
Yearly,2013,55153,OpenDengue_National_Yearly
Yearly,2014,28933,OpenDengue_National_Yearly
Yearly,1997,1177,OpenDengue_State_Aggregated
Yearly,1998,696,OpenDengue_State_Aggregated
Yearly,1999,944,OpenDengue_State_Aggregated
Yearly,2000,650,OpenDengue_State_Aggregated
Yearly,2001,3306,OpenDengue_State_Aggregated
Yearly,2002,1925,OpenDengue_State_Aggregated
Yearly,2003,12754,OpenDengue_State_Aggregated
Yearly,2004,4140,OpenDengue_State_Aggregated
Yearly,2005,11985,OpenDengue_State_Aggregated
Yearly,2006,12288,OpenDengue_State_Aggregated
Yearly,2007,5530,OpenDengue_State_Aggregated
Yearly,2008,12540,OpenDengue_State_Aggregated
Yearly,2009,15535,OpenDengue_State_Aggregated
Yearly,2010,28292,OpenDengue_State_Aggregated
Yearly,2011,18860,OpenDengue_State_Aggregated
Yearly,2012,37070,OpenDengue_State_Aggregated
Yearly,2015,99913,OpenDengue_State_Aggregated
Yearly,2016,129166,OpenDengue_State_Aggregated
Yearly,2017,188401,OpenDengue_State_Aggregated
Yearly,2018,101192,OpenDengue_State_Aggregated
Yearly,2019,157315,OpenDengue_State_Aggregated
Yearly,2020,44585,OpenDengue_State_Aggregated
Yearly,2021,193245,OpenDengue_State_Aggregated
Yearly,2022,233251,OpenDengue_State_Aggregated
Yearly,2023,289235,OpenDengue_State_Aggregated
Yearly,2024,233519,OpenDengue_State_Aggregated
Monthly,2024-01,5079,WHO
Monthly,2024-02,5429,WHO
Monthly,2024-03,5597,WHO
Monthly,2024-04,3342,WHO
Monthly,2024-05,5145,WHO
Monthly,2024-06,7499,WHO
Monthly,2024-07,27675,WHO
Monthly,2024-08,32388,WHO
Monthly,2024-09,41375,WHO
Monthly,2024-10,51183,WHO
Monthly,2024-11,30354,WHO
Monthly,2024-12,17359,WHO
Monthly,2025-01,4700,WHO
Monthly,2025-02,3806,WHO
Monthly,2025-03,3517,WHO
Monthly,2025-04,2700,WHO
Monthly,2025-05,3766,WHO
Monthly,2025-06,6459,WHO
Monthly,2025-07,10302,WHO
Monthly,2025-08,14303,WHO
Monthly,2025-09,18803,WHO
Monthly,2025-10,22659,WHO
Monthly,2025-11,22175,WHO
Monthly,2025-12,7539,WHO
